objectid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
pano_001,Kadena Roadside Station viewfinder,Collier Nogues,2023-10-18,,Viewfinder at observation platform looking over Highway 58 to Kadena Air Base flightline,,"Kadena Town, Okinawa, Japan",26.36799466,127.7740543,Collier Nogues,,Image;StillImage,image/jpeg,,,,panorama,objects/001_roadside.jpg,objects/small/001_roadside_sm.jpg,objects/thumbs/001_roadside_th.jpg,coin-operated binoculars on observation platform overlooking Kadena Air Base flightline,
pano_002,DMZ Imjingak viewfinder,Collier Nogues,2024-05-21,,Viewfinder at Imjingak Peace Park looking over Imjin River to Civilian Control Zone and Camp Greaves,,"Imjingak, Paju, Republic of Korea",37.89052463,126.7373574,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/002_imjingak.jpg,,,"coin-operated binoculars on observation platform on Imjin River Dokgae Bridge, Imjinak, Korea (DMZ)",
pano_003,DMZ Odusan viewfinder,Collier Nogues,2024-05-21,,"Viewfinder at Odusan Observatory, looking over confluence of Han and Imjin Rivers to North Korea",,"Odusan, Paju, Republic of Korea",37.77313899,126.6770302,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/003_odusan.jpg,,,"digital binoculars on platform at Odusan Unification Observation Deck, Paju, Korea (DMZ)",
pano_004,Tumon pillbox,Collier Nogues,2025-03-07,,WWII Japanese-built pillbox on Tumon Beach looking out at the Philippine Sea,,"Tumon Beach, Tamuning, Guam",13.51408001,144.803965,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/004_tumon.jpg,,,"WWII-era Japanese-built pillbox with two embrasures on Tumon Beach, Guam",
pano_005,Sakima Art Museum viewfinder,Collier Nogues,2023-10-19,,Architectural feature of roof deck of Sakima Art Museum looking out over Futenma MCAS,,"Uehara, Okinawa, Japan",26.27809042,127.7747584,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/005_sakima.jpg,,,"square observation window cut into museum rooftop, opening to view of green military base and ocean on horizon",
pano_006,Tiyan guardhouse,Collier Nogues,2025-03-07,,"Former guardhouse of Naval Air Station Agana, now graffiti-covered",,"Tiyan, Barrigada, Guam",13.47271668,144.7963773,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/006_tiyan.jpg,,,graffiti'd former U.S. naval base entry guardhouse,
pano_007,El Kabayo guardhouse,Collier Nogues,2025-05-30,,"Former guardhouse of El Kabayo riding stables at Subic Bay, now overgrown",,"El Kabayo Stables, Subic Bay Freeport Zone, Olangapo City, Philippines",14.80667382,120.3083518,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/007_elkabayo.jpg,,,abandoned former guardhouse with trees growing through the walls,
pano_008,Cubi Point quonset exterior,Collier Nogues,2025-05-30,,"Abandonded quonset at former Naval Air Station Cubi Point, now mostly roofless",,"Zambales Highway, Subic Bay Freeport Zone, Zambales, Philippines",14.7871462,120.2683254,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/008_quonset_ext.jpg,,,roofless former quonset hut with bathroom cubicle open to the elements,
pano_009,Cubi Point quonset interior,Collier Nogues,2025-05-30,,"Abandonded quonset at former Naval Air Station Cubi Point, the one intact building ",,"Zambales Highway, Subic Bay Freeport Zone, Zambales, Philippines",14.78712415,120.2684072,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/009_quonset_int.jpg,,,"interior of quonset hut, corrugated walls and ceiling",
pano_010,DMZ Greaves stag,Collier Nogues,2024-05-21,,Former artillery bunker turned art installation at Camp Greaves DMZ Experience Center,,"Camp Greaves DMZ Experience, Paju, South Korea",37.89761785,126.7295953,,,Image;StillImage,image/jpeg,,,,panorama,assets/img/010_stag.jpg,,,interior of artillery bunker with sculpture of a stag whose antlers are a tree growing up to the ceiling,
